name,title,number,type
Bibi Blocksberg,Die Schlossgespenster,8,CD
Bibi Blocksberg,in Amerika,14,CD
Bibi Blocksberg,Auf dem Hexenberg,18,CD
Bibi Blocksberg,zieht um,21,CD
Bibi Blocksberg,3x schwarzer Kater,22,CD
Bibi Blocksberg,in der Ritterzeit,30,CD
Bibi Blocksberg,Der Hexenfluch,35,CD
Bibi Blocksberg,Karla gibt nicht auf,46,CD
Bibi Blocksberg,Das Reitturnier,47,CD
Bibi Blocksberg,Der Hexengeburtstag,49,CD
Bibi Blocksberg,Der Blaue Brief,57,CD
Bibi Blocksberg,"Der Freitag, der 13.",73,CD
Bibi Blocksberg,Schubia dreht durch,76,CD
Bibi Blocksberg,Das Schmusekätzchen,80,CD
Bibi Blocksberg,Hexspruch mit Folgen,82,CD
Bibi Blocksberg,Die Klassenreise,83,CD
Bibi Blocksberg,Die verhexte Zeitreise,94,CD
Bibi Blocksberg,Die Prinzenssinnen von Thunderstorm,98,CD
Bibi Blocksberg,Die große Hexenparty,100,CD
Bibi Blocksberg,und Piraten-Lilly,101,CD
Bibi Blocksberg,Der Hexenschatz,103,CD
Bibi Blocksberg,Der Familienausflug,108,CD
Bibi Blocksberg,Urlaub in der Hexenpension,115,CD
Bibi Blocksberg,Im Wald der Hexenbesen,116,CD
Bibi Blocksberg,Die Besenflugprüfung,117,CD
Bibi Blocksberg,Die Austauschschülerin,118,CD
Bibi Blocksberg,und der Feuerdrache,119,CD
Bibi Blocksberg,Der neue Schulgarten,121,CD
Bibi Blocksberg,Chaos im Hexeninternat,122,CD
Bibi Blocksberg,Oma Grete in Gefahr,123,CD
Bibi Blocksberg,Der Strandurlaub,125,CD
Bibi Blocksberg,Das wilde Schlittenrennen,126,CD
Bibi Blocksberg,zieht aus,127,CD
Bibi Blocksberg,Ausgehext!,128,CD
